id,external_id,name,name_short_display,description,website,is_organic,status,street_address,locality,region,postal_code,phone,latitude,longitude,is_closed,is_primary,open_to_public,location_type,location_type_display,country_iso_code,update_date,create_date,created_at,updated_at
11,In4QKm,Sactown Union Brewery,Sactown Union,"Sactown Union Brewery is a Production Brewery with a Tasting Room located in East Sacramento, CA (just three short blocks from Sac State!). We are community oriented, and celebrate history's social catalysts - those that bucked the status quo to make the world around them a better place! ""We're not just brewing Beer; We're brewing Community.""",http://www.sactownunion.com,N,verified,1210 66th Street,East Sacramento,California,95819,(916) 606-3373,38.555012,-121.4261623,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
12,fMPgyC,Titletown Brewing,Titletown,"Titletown Brewing Co was founded in 1996 inside the historic Chicago Northwestern Train Depot in the heart of Green Bay, WI. The brewpub is open year-round serving unique, hand-crafted dishes, fresh ""honest"" pints, and hand made Sno-Cap Root Beer. Titletown's Beerworks production brewery was completed in 2014, bottling award winning beers just footsteps from the existing brewpub.",http://www.titletownbrewing.com/,N,verified,200 Dousman Street,Green Bay,Wisconsin,54303,920-437-2337,44.520031,-88.017274,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
13,oZFdaL,Public Coast Brewing Co.,Public Coast,"In 1967, Oregon saw fit to boldly declare our beaches free and open to all. Today, we’re celebrating this landmark legislation anew – with beer. Lots of honest, great tasting beer. Locally brewed and enjoyed in Cannon Beach, Ore. – where forest meets sea, grey whales frolic, and siblings trip over each others’ sandcastles “by accident.” Where memories are made and shoes are just a suggestion. Welcome to Public Coast Brewing.",http://www.publiccoastbrewing.com,N,verified,264 Third Street,Cannon Beach,Oregon,"",503-436-0285,45.9007851,-123.959053,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
14,wIVjXq,Brouwerij 't Gaverhopke,Brouwerij 't Gaverhopke,"",http://www.tgaverhopke.be/,N,verified,Steenbrugestraat 187,Harelbeke-Stasegem,"",8530,+32 (0)56 25 86 70,50.835459,3.334268,N,Y,Y,micro,Micro Brewery,BE,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
15,WumkFt,Prairie Sun Brewery,Prairie Sun,"Cameron and Heather were approached by a clever entrepreneur that saw the opportunity for craft beer growth in Saskatchewan, to run his brewery for him. They were intrigued by the thought of building his brewery, but after much discussion, they decided they wanted to build a brewery that would reflect more of themselves. They embarked on a research road trip to the “beer capitol,” Denver, Colorado, for some inspiration. There, they developed the vision of Prairie Sun Brewery. After 19 months their vision became a reality as they took their passion and hard work, and brewed their first batch of beer on a 10-barrel system. Starting a business is no easy task…starting a craft brewery is even tougher. Luckily, they were able to find most of the equipment needed to make it happen from Hogs Head Brewery in St. Albert, Alberta. In May 2013, Heather and Cameron found the perfect home at the former “Saskatoon Bakery” and they moved in! By June 2015, Prairie Sun had grown to 12 employees and could be found in many restaurants around Saskatoon. Heather and Cameron look forward to sharing their tasty beer with everyone in this community.",http://www.prairiesun.ca/,N,verified,2020 Quebec St.,Saskatoon,Saskatchewan,S7K 1W5,+1 306-343-7000,52.1572664,-106.6627955,N,Y,N,micro,Micro Brewery,CA,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
16,dtWauh,Amsterdam Brewing Company,Amsterdam,Makers of Toronto's finest craft lagers and ales.,http://www.amsterdambeer.com/,N,verified,45 Esandar Dr,Toronto,Ontario,M4G 4C5,(416) 504-6882,43.7069098,-79.3569022,N,Y,Y,production,Production Facility,CA,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
17,cJio9R,(512) Brewing Company,(512),"(512) Brewing is a micro-brewery located in the heart of Austin, brewing for the community using as many local, domestic and organic ingredients as possible. We use USDA organic 2-row base malt because it's the right thing to do. We self distribute because we can and we're draft only to keep the product fresh and to reduce disposable packaging. You can taste the passion in our products and we appreciate all our local support.",http://www.512brewing.com/,N,verified,407 Radam,Austin,Texas,78745,512-707-2337,30.2234,-97.769736,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
18,V28kha,New Helvetia Brewing Company,New Helvetia,"The ghost of the old Buffalo Brewing Company lives here Inspired by Sacramento's Buffalo Brewery, a new generation can once again enjoy Buffalo Beer.",http://newhelvetiabrew.com/,N,verified,1730 Broadway,Sacramento,California,95818,(916) 469-9889,38.560744,-121.489974,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
19,3bzeJv,Mutiny Brewing Company,Mutiny,"At this family-run locale nestled in the breathtaking Wallowa Valley on the remote northeastern corner of Oregon’s craft frontier, Mutiny is brewing. Fueling hikers, rafters, and outdoor enthusiasts 330 miles due east of Portland, Mutiny Brewing Company specializes in beer as it’s meant to be made and as it’s meant to be enjoyed.",http://mutinybrewing.com,N,verified,600 N Main St,Joseph,Oregon,97846,541-432-5274,45.3573711,-117.2294438,Y,Y,N,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
20,iNQxzm,Fairhope Brewing Company,Fairhope,The Fairhope Brewing Company will serve the craft beer needs of Lower Alabama by operating a taproom in the brewery and selling our beer throughout Baldwin and Mobile counties.,http://www.fairhopebrewing.com/,N,verified,914 Nichols Avenue,Fairhope,Alabama,36532,"",30.516367,-87.884994,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
21,jcF9Q6,Lincoln Brewing Co.,Lincoln,"Lincoln Brewing Co. has 24 taps of beers brewed on sight and note-worthy guest taps. We also offer a full service liquor bar, an arcade room, and food delivered from Camos Brothers Pizza.",http://www.lincolnbrewery.com,N,verified,6471 Triangle Plantation Dr.,Raleigh,North Carolina,27616,"",35.8742636,-78.5822281,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
22,4c0spJ,Tonopah Brewing Co,Tonopah,"Brewpub with a Bavarian 10 barrel system, carrying 11 beers on tap all brewed on premises.",http://www.tonopahbrewing.com,N,verified,315 Main Street,Tonopah,Nevada,89049,(775) 482-2000,38.0710516,-117.2331562,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
23,FW4NLn,Carton Brewing Co,Carton,"Having decided they had something to contribute to the very exciting conversation going on in craft brewing, cousins Chris and Augie Carton teamed up with their favorite home brewer, Jesse Ferguson, and started Carton Brewing. In the seashore community where they were born and raised, the Carton boys found a turn-of-the-century red brick warehouse and adapted it to accommodate a state-of-the-art N ewlands Systems 15 barrel brew house. With Jesse at its helm, 6 E. Washington Avenue was turned into an independent craft brewery and their hats were in the ring. Applying a passion for stimulating flavor to inspiration found all around them, they set about their goal: to make tasty beer in the place their tastes were formed.",http://cartonbrewing.com/,N,verified,6 E Washington Ave,Atlantic Highlands,New Jersey,07716,917-445-6193,40.41182,-74.038126,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
46,qKkgtq,Fifth Street Brewpub,Fifth Street Brewpub,"",http://www.fifthstreetbrewpub.coop,N,verified,1600 E Fifth St,Dayton,Ohio,45402,(937) 443-0919,39.7586315,-84.1719973,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
24,ANqPO1,Bricktown Brewery (OKC),Bricktown Brewery (OKC),"Bricktown Brewery opened in October 1992, making history, quality beers, and great food. This started what has become the most unique setting and entertainment establishment in Oklahoma City! In keeping with the Brewery’s standard of providing our patrons with an exceptional experience, we have transformed the historical turn-of-the century building into a great place to find award winning beers, great food, and plenty of fun for all ages!",http://www.bricktownbrewery.com/,N,verified,1 N Oklahoma Ave,Oklahoma City,Oklahoma,73104,405-232-2739,35.4667607,-97.5108091,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
25,WXBFIy,Bloomington Brewing Company,Bloomington Brewing,"Philosophy— Life without labor is guilt. Labor without art is brutality—John Rusgan There is a nearly infinite variety of ways to make good beer. At the Bloomington Brewing Company, we make beers that we like to drink. That’s the first rule. Great ingredients and attention to detail is the second. Our intention is not to grow a large brewery operation, our intention is to make great beer that we like to drink and to take care of our community. We make only ales and they are available only on draft in Bloomington, Indianapolis and the surrounding communities. We do not bottle our beers. We’re not against bottling, and we will assuredly reach a point in the future where we will package our beer, but no matter how good a beer is in the bottle, it can never be better than the beer coming from a well managed tap. Often it will be not nearly as good. Why? Draft beer is fresher; that’s a big one. Packaging beer is a complicated process with lots of potential for bad things to happen. Once packaged, the beer is exposed to its two mortal enemies; Sunlight and time.",http://www.bbcbloomington.com/,N,verified,1795 E 10th St,Bloomington,Indiana,47402,812.323-2112,39.171579,-86.511086,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
26,4UcPMq,Warped Wing Brewing,Warped Wing,Dayton based craft brewery committed to brewing proprietary beer styles and warped interpretations of existing styles.,http://www.warpedwing.com,N,verified,26 Wyandot Street,Dayton,Ohio,45402,(937) 222-7003,39.75973,-84.185402,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
27,ropbzo,Bubba Brew's Brewing Company,Bubba Brew's,"Bubba Brew's Brewing Company is a craft brewery in Bonnerdale, Arkansas, approximately 15 minutes southwest of Hot Springs National Park, Arkansas. We make small batch, hand-crafted ales, lagers and specialty brews, from crisp and refreshing light ales and lagers, to deep, dark and rich stouts and porters, to floral and aromatic IPA's and Pale Ales. You are bound to find something to suit your taste! Growler fills are available, as well as tasting flights. Come see us!!","",N,verified,8091 Airport Rd.,Bonnerdale,Arkansas,71933,(870) 356-4001,34.4120729,-93.3294526,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
28,d4TIzB,Rabbit Hole Brewing,Rabbit Hole,"Rabbit Hole Brewing is a craft brewery located in Justin, Texas which strives to create and maintain local, regional, and statewide brand recognition and loyalty with an inspired beer portfolio. Our focus is on producing high quality product which includes market under-represented beer styles, and new and unique interpretations of regional favorites. We insist on the same high quality of service and delivery of our product as we maintain during its production.",http://www.rabbitholebrewing.com,N,verified,608 Topeka Ave,Justin,Texas,76247,940-441-3528,33.089849,-97.2923792,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
29,pukGBN,Big Beach Brewing,Big Beach,"Big Beach Brewing Company is the southernmost brewery in Alabama located in the heart of Gulf Shores. We are proud of our 10 barrel brewing system that is exclusively dedicated to brewing and serving all kinds of ales from IPAs and Stouts to Cream Ales and Belgian style beers. We have four fermenters in which we are able to produce enough beers to present up to 12 beers on tap at a time. We pride ourselves on having a ""tank to tap"" operation. Tank to tap essentially means that instead of running our draught lines from kegs, we've got a bunch (by a bunch, we mean eight) of beautiful 300 gallon vessels behind our bar on display that tenderly hold our beer to ensure it is the freshest beer around. Our head brewer, Rod Murray, along with the owners and some of our staff are proud to be one of the first to bring local craft beer to our beloved beach town. We brew what we like, and we hope you'll like it too.",http://bigbeachbrewing.com,N,verified,300 E 24th Ave,Gulf Shores,Alabama,36542,(251) 948-2337,30.278259,-87.682588,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
30,G8wbyM,Royal City Brewing Co.,Royal City,"",http://www.royalcitybrew.ca/,N,verified,199 Victoria Rd S,Guelph,ON N1E 3J3,"",(888) 485-2739,43.5522943,-80.2248346,N,Y,Y,micro,Micro Brewery,CA,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
31,pMsqwL,Fort Collins Brewery,Fort Collins,"Fort Collins Brewery & Tavern is a family-owned, handcrafted microbrewery and full service tavern in Northern Colorado, established in 2003. FCB offers an outstanding line up of 50 ales and lagers that can be found on tap as well as in bottles throughout the U.S. For more information, visit fortcollinsbrewery.com or call 970-472-1499. Create – Share – Savor",http://www.fortcollinsbrewery.com/,N,verified,1020 E. Lincoln Ave,Fort Collins,Colorado,80524,970-472-1499,40.5891748,-105.0585227,Y,Y,N,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
32,gum7TK,Eppig Brewing,Eppig,"",http://www.eppigbrewing.com,N,verified,3052 El Cajon Blvd.,San Diego,California,92104,619.501.1840,32.755723,-117.128732,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
33,PRkxTS,Twisted Spike Brewing Company,Twisted Spike,"Oklahoma's 15th licensed brewery. Located in downtown Oklahoma City. Started operations December 1, 2016 by 25 year home brewer Bruce and his wife Donna Sanchez.",http://www.twistedspike.com,N,verified,1 NW 10th Street,Oklahoma City,Oklahoma,73103,"",35.478371,-97.512268,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
34,8Jyw2B,Springfield Brewing Company,Springfield,"An anchor to the re-birth of downtown Springfield since 1997, Springfield Brewing Company is a must-visit destination for beer and food enthusiasts traveling the area. Springfield Brewing Company is truly a wonderful facility, staffed with a great group of individuals. We bring together the finest brewing ingredients in one of the world’s best small brewing facilities to brew excellent beers. Local before local was cool, our kitchen matches our brewers passion for craft brewed beer with their made-from-scratch dishes with local products. We have no hatchet men or Madison Avenue suits on our staff; just a group of hard-working local business owners in search of excellence. Our mission is to brew inspired beer, produce excellent food, offer a superb facility while arming SBC with a personable staff. Cheers!",http://www.springfieldbrewingco.com,N,verified,301-305 South Market,Springfield,Missouri,65806,417-832-8277,37.2078118,-93.2955934,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
47,KY5gtZ,7th Settlement Brewery,7th Settlement,"A Community Supported Brewery (CSB) in Dover, NH. Specializing in high quality, hand crafted ales and lagers. Enjoy a paring of our great beers with our amazing locally sourced progressive American pub fair!",http://www.7thsettlement.com/,N,verified,47 Washington St,Dover,New Hampshire,03820,(603) 373-1001,43.1951587,-70.873599,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
35,WkIaQj,Crow Peak Brewing Company,Crow Peak,"Crow Peak Brewing Company began on March 9, 2007. The brewery is located in Spearfish, South Dakota at the foot of the beautiful Black Hills. We began in a small tap room with a 5 barrel system. Word got out about Crow Peaks great beers starting a dedicated fan base. With the popularity of the beer growing, so did the brewery. In December of 2009 we opened the doors to our new building and 30 barrel brewhouse. Crow Peak beers can be found on tap and in cans throughout South Dakota, North Dakota, Omaha, NE, and Eastern Wyoming. We are proud to distribute 11th Hour IPA, Pile of Dirt Porter and Canyon Cream Ale, as well as a number of seasonal offerings.",http://www.crowpeakbrewing.com/,N,verified,125 West Highway 14,Spearfish,South Dakota,57783,605-717-0006,44.5177631,-103.8710587,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
36,nLsoQ9,Lagunitas Brewing Company,Lagunitas,"From our earliest days of striving to make consistently good beer, and instead making beer that ranged from vile, to barely drinkable, to wonderful, to elegant, to questionable-at-best. From being castigated by our West Marin neighbors to finally suffering an 'eviction' by our West Marin septic system. From landing in the welcoming arms of Petaluma, and actually getting our beer into bottles, onto the streets, and into the hands of sympathatic beer geeks, to steadily losing less money each month. From all this and more, Lagunitas Brewing Company is emerging as a battle-tested brewery capable of making great beer out of goat's milk, brambles, and asphalt on the surface of the Moon, if need be. As the poet once said, 'Where, but for the grace of God and the kindness of strangers, go I'. Where go we indeed, whatever that means.",http://www.lagunitas.com/,N,verified,161 E Bay St.,Charleston,South Carolina,29401,843-853-4677,32.7784833,-79.9275509,N,Y,Y,tasting,Tasting Room,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
37,DdedKX,Justice Brewing,Justice,"Established as Justice Brewing, LLC in 2009 I set out to open a small scale craft brewery. Having spent a few years as a homebrewer and always wanting to work for myself I attended Craft Brewing classes at Chemeketa Community College in Salem, OR and read as many books as I could on brewing. I searched for a long time trying to find a suitable place to open up and could be licensed as a Microbrewery. I finally found the location in 2011 and started the move. Then finally in 2012 went through all the legal red tape of opening Everett’s first Belgian Style brewery. Due to current regulations in the City of Everett we are not open for retail sales. You can make an appointment if you would like a tour or make arrangements for a delivery. Among other things we now brew AWARD WINNING BEER! Thats right our recipes are now the recipients of not only numerous Blue & Red Ribbons at the 2012 Evergreen State Fair but our “White & Nerdy” Belgian Wit won Best of Show.",http://www.justicebrewing.com/,N,verified,2414 Chestnut St.,Everett,Washington,98201,(425) 835-2337,47.985383,-122.18803,N,Y,Y,nano,Nano Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
38,MstViE,French Broad Brewing Company,French Broad,"Since opening our doors in 2001, our goal has been to create traditional European style beers while maintaining the unique flavor that is Asheville. Our tasty creations can be found all over North Carolina, South Carolina, Georgia, and Tennessee, with new territories coming soon.",http://frenchbroadbrewery.com/,N,verified,101 Fairview Rd # D,Asheville,North Carolina,28803,828-277-0222,35.5664832,-82.5374074,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
39,564ZPt,Blue Blood Brewing Company,Blue Blood,"Our community is everything to us. We protected it as cops. We celebrate it as brewers. Inspired by our roots in law enforcement and the homebrewing scene, our beer is meant to bring people together. It's crafted using the finest ingredients. It's scrutinized for strict adherence to our standards. It's brewed to be savored among the best of friends. Because you have a right to know where your beer comes from. A right to great taste-and great memories. A right to have a little fun. We swear to uphold those rights. Blue Blood Brewing Company. Justice. Served.",http://bluebloodbrewing.com/,N,verified,925 Robbers Cave Road,Lincoln,Nebraska,68502,(402) 477-2337,40.7800555,-96.7070987,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
40,s5lxSd,Twin Leaf Brewery,Twin Leaf,"",http://www.twinleafbrewery.com,N,verified,144 Coxe Avenue,Asheville,North Carolina,28801,"",35.5894369,-82.554528,N,Y,Y,brewpub,Brewpub,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
41,LEmvrC,Black Wolf Brewery,Black Wolf,"We’re proud of our craft, integrity and quality. But we’re not afraid to break the rules to produce something that breaks the mould. Here’s to good, honest, beer. Beer worth howling for...",http://blackwolfbrewery.com/,N,verified,7c Bandeath Industrial Estate,Throsk,Stirling,FK7 7NP,+ 44 (0)1786 817000,56.1031142,-3.8461343,N,Y,Y,micro,Micro Brewery,GB,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
42,RNzhpm,Bent Paddle Brewing Co.,Bent Paddle,"Bent Paddle Brewing Co.® is a 30-barrel production craft brewery and public taproom located in Duluth, Minnesota. We use the amazing water of Lake Superior along with the talent of our brewers to make some of the freshest and most dependable craft beer possible. Our flagship beers, as well as specialty seasonal offerings, are available in varied keg sizes as well as 12 oz. cans to the retail market. Our beer is also available via growler fill and by the glass in our taproom, the Bent Tap. Look for us at bars, liquor stores, event facilities, and restaurants throughout Minnesota and beyond – and come visit us in Duluth for a tour and a taste! It is our mission at Bent Paddle Brewing Co.® to brew craft beer with a concentration on sustainability for our business, employees, the environment and the greater community - all while “Bending the Traditions” that we encounter, for a more unique and interesting craft beer experience. Bending Tradition® in Duluth, Minnesota since 2013",http://www.bentpaddlebrewing.com/,N,verified,1912 West Michigan Street,Duluth,Minnesota,55806,"",46.7679949,-92.1218101,N,Y,Y,micro,Micro Brewery,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
43,iNukkU,Okanagan Spring Brewery,Okanagan Spring,"",http://okspring.com/,N,verified,2801 - 27A Avenue,Vernon,British Columbia,"",1-800-663-7037,50.2613169,-119.2767142,N,Y,Y,micro,Micro Brewery,CA,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
44,zj3eXB,Solvang Brewing Co,Solvang,"",http://www.solvangbrew.com/,N,verified,234 North H St.,Lompoc,California,93436,(805) 741-7499,34.641869,-120.457445,N,Y,Y,production,Production Facility,US,,,2017-09-24 00:25:21 UTC,2017-09-24 00:25:21 UTC
